City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
san angelo,1,US,1546570260,71,31.46,-100.44,33.08,6.93
piacabucu,92,BR,1546573264,99,-10.41,-36.43,74.07,4.41
klaksvik,92,FO,1546570200,93,62.23,-6.59,48.2,9.17
mangrol,0,IN,1546573265,78,25.33,76.51,49.28,2.84
port keats,0,AU,1546573265,79,-14.25,129.55,90.23,18.39
alyangula,0,AU,1546570800,55,-13.85,136.42,89.6,6.93
grand gaube,20,MU,1546570800,83,-20.01,57.66,80.6,4.7
goderich,24,CA,1546573266,86,43.74,-81.71,34.16,20.07
arona,0,IT,1546572000,73,45.76,8.56,23,5.82
mana,75,RS,1546570800,85,43.52,20.24,24.8,4.7
geraldton,90,CA,1546572000,92,49.72,-86.95,30.2,10.29
bawku,0,GH,1546573268,41,11.06,-0.24,65.8,8.21
paita,8,PE,1546573268,80,-5.09,-81.11,71.42,6.42
sao jose da coroa grande,44,BR,1546573269,99,-8.9,-35.15,75.11,4.74
miraflores,36,CO,1546573269,100,5.2,-73.14,47.57,1.16
klyuchi,80,RU,1546573270,59,52.25,79.17,-12.11,3.29
vila franca do campo,40,PT,1546570800,100,37.72,-25.43,62.6,9.17
sohag,0,EG,1546570800,75,26.55,31.7,42.8,3.36
khani,0,GE,1546570800,79,41.96,42.96,46.4,9.17
vagamo,12,NO,1546573272,90,61.88,9.1,20.03,3.96
vermillion,1,US,1546571700,79,42.78,-96.93,35.06,5.82
ucluelet,92,CA,1546573272,100,48.94,-125.55,43.02,3.18
dalvik,90,SE,1546570200,92,57.79,14.13,30.2,5.82
matara,92,PE,1546573273,94,-13.74,-72.9,46.17,1.5
nuoro,0,IT,1546572000,100,40.32,9.33,41,2.24
yulara,36,AU,1546570800,8,-25.24,130.99,109.4,9.17
puerto madryn,76,AR,1546573274,55,-42.77,-65.04,68.94,4.41
karratha,0,AU,1546573274,38,-20.74,116.85,96.75,11.34
rio grande,12,BR,1546573241,97,-32.03,-52.1,68,9.33
togur,68,RU,1546573275,72,58.36,82.83,-10.31,7.65
shellbrook,75,CA,1546570800,79,53.22,-106.39,21.2,4.7
weston,40,US,1546570560,74,41.2,-73.38,39.02,4.7
bulgan,8,MN,1546573276,24,48.81,103.53,-19.08,2.84
wewak,56,PG,1546573277,78,-3.55,143.63,85.23,6.2
kirakira,88,SB,1546573277,100,-10.46,161.92,79.7,3.85
sangar,56,RU,1546573277,37,63.92,127.47,-24.88,5.41
lampazos de naranjo,0,MX,1546573278,85,27.02,-100.51,35.06,0.94
whittlesea,0,AU,1546571760,11,-37.51,145.12,107.6,18.34
tabou,36,CI,1546573278,98,4.42,-7.36,83.03,9.22
san patricio,12,PY,1546573279,97,-26.98,-56.83,77.27,2.17
luis correia,88,BR,1546573279,88,-2.88,-41.67,78.53,13.69
barnstaple,0,GB,1546570200,86,51.08,-4.06,33.8,5.82
fairbanks,1,US,1546570680,80,64.84,-147.72,-13.55,3.4
panjab,92,AF,1546573280,87,34.38,67.02,27.05,4.18
sambava,12,MG,1546573280,100,-14.27,50.17,79.43,4.18
ballina,0,IE,1546573280,100,54.11,-9.15,34.3,9.22
temiscaming,90,CA,1546570800,86,46.72,-79.1,28.4,17.22
jalingo,12,NG,1546573281,49,10.21,12.82,61.7,7.87
coronado,0,PA,1546570800,69,8.53,-79.9,80.6,11.41
keti bandar,8,PK,1546573282,100,24.14,67.45,68.94,6.76
verkhnevilyuysk,56,RU,1546573282,58,63.45,120.31,-6.07,8.66
walvis bay,0,NA,1546570800,77,-22.95,14.51,64.4,11.41
praia da vitoria,75,PT,1546570800,87,38.73,-27.07,60.8,13.13
belmonte,8,PT,1546573283,67,40.36,-7.35,21.47,2.73
souillac,0,FR,1546570800,69,45.6,-0.6,33.8,6.93
euclides da cunha,44,BR,1546573284,69,-10.51,-39.01,74.03,11.12
altamirano,0,AR,1546570800,60,-35.36,-58.15,68,5.82
alvand,0,IR,1546570800,100,36.19,50.06,26.6,4.7
osoyoos,90,CA,1546570800,75,49.03,-119.47,41,27.51
aden,92,YE,1546573129,100,12.79,45.03,76.1,12.68
chenzhou,92,CN,1546573285,100,25.81,113.03,37,4.41
utete,12,TZ,1546573008,98,-7.99,38.76,74.7,2.73
deputatskiy,8,RU,1546573286,0,69.3,139.9,-23.72,5.08
sinnai,0,IT,1546572000,76,39.3,9.2,42.8,4.7
grafton,44,AU,1546570800,51,-29.69,152.93,86,11.41
itacarambi,0,BR,1546573287,49,-15.1,-44.09,72.68,9.55
makakilo city,20,US,1546570620,53,21.35,-158.09,80.06,10.29
leningradskiy,44,RU,1546573287,88,69.38,178.42,-10.26,15.26
bartlesville,90,US,1546571700,92,36.75,-95.98,35.06,8.88
nuevitas,20,CU,1546570200,94,21.55,-77.27,71.6,5.82
hongjiang,92,CN,1546573288,100,27.21,109.83,35.37,3.62
hambantota,0,LK,1546571400,83,6.12,81.12,78.8,13.87
simao,68,CN,1546573289,97,22.76,100.79,55.81,2.84
san policarpo,80,PH,1546573289,100,12.18,125.51,78.48,20.07
alvorada,90,BR,1546570800,94,-30,-51.08,69.8,4.7
sinnamary,100,GF,1546573290,100,5.38,-52.96,75.11,9.66
san matias,75,HN,1546570800,64,13.97,-86.63,68,4.7
maine-soroa,8,NE,1546573291,45,13.21,12.02,58.95,8.66
touros,75,BR,1546570800,83,-5.2,-35.46,78.8,6.93
mackenzie,90,CA,1546571040,92,55.34,-123.09,17.6,5.82
port blair,0,IN,1546573005,100,11.67,92.75,82.13,17.38
havoysund,75,NO,1546570200,74,71,24.66,37.4,21.92
soure,0,PT,1546570800,93,40.06,-8.63,39.2,4.7
bangkalan,40,ID,1546570800,88,-7.05,112.74,80.6,3.36
ruwi,12,OM,1546570200,82,23.6,58.55,66.2,3.36
baijiantan,80,CN,1546573293,76,45.63,85.18,2.35,0.83
mangan,0,IN,1546573294,42,27.5,88.54,14.95,2.28
suksun,68,RU,1546573294,85,57.15,57.4,15.4,8.55
urubicha,12,BO,1546573294,86,-15.63,-63.08,77.85,3.29
bousse,75,FR,1546572000,96,49.28,6.2,35.6,2.24
gaoual,12,GN,1546573295,60,11.75,-13.2,60.17,3.62
beloha,80,MG,1546573295,95,-25.17,45.06,73.35,5.41
gariaband,0,IN,1546573296,84,20.63,82.06,59.27,2.95
okha,32,RU,1546573296,86,53.59,142.95,12.47,22.41
bondo,8,CD,1546573296,93,3.81,23.69,70.43,2.62
sunndalsora,88,NO,1546570200,93,62.68,8.55,44.6,38.03
havelock,90,US,1546571100,96,34.88,-76.9,57.92,3.36
dunedin,44,NZ,1546573297,55,-45.87,170.5,64.76,16.93
muros,0,ES,1546570800,100,42.77,-9.06,39.2,4.7
kathmandu,20,NP,1546572000,81,27.71,85.32,42.8,3.74
missoula,90,US,1546570380,72,46.87,-114,37.94,3.18
mawlaik,48,MM,1546573299,62,23.63,94.42,63,2.84
bantogon,8,PH,1546573299,49,6.53,124.03,86.72,2.17
nizhniy kuranakh,48,RU,1546573300,59,58.84,125.49,-3.11,6.08
charters towers,36,AU,1546573300,72,-20.07,146.27,84.38,10.45
santa vitoria do palmar,8,BR,1546573243,89,-33.52,-53.37,60.04,8.1
mount gambier,90,AU,1546570860,77,-37.83,140.78,64.4,19.46
fez,0,MA,1546570800,59,34.03,-5.02,42.8,3.36
lubao,75,PH,1546570800,65,14.94,120.6,86,9.17
balingasay,0,PH,1546573301,82,16.36,119.86,84.87,13.13
